"id","t","h","src"
"1.1",20,4.2,"gut"
"1.1",30,9.3,"gut"
"1.1",40,14.9,"gut"
"1.1",50,19.7,"gut"
"1.1",60,23,"gut"
"1.1",70,25.8,"gut"
"1.1",80,27.4,"gut"
"1.1",90,28.8,"gut"
"1.1",100,30,"gut"
"1.1",110,30.9,"gut"
"1.1",120,31.8,"gut"
"1.1",130,32.4,"gut"
"1.1",140,33.1,"gut"
"1.2",20,4.8,"gut"
"1.2",30,10.3,"gut"
"1.2",40,15.3,"gut"
"1.2",50,19.9,"gut"
"1.2",60,23.7,"gut"
"1.2",70,27.1,"gut"
"1.2",80,29.4,"gut"
"1.2",90,31.5,"gut"
"1.2",100,33.1,"gut"
"1.2",110,34.3,"gut"
"1.2",120,35.5,"gut"
"1.2",130,36.7,"gut"
"1.2",140,37.8,"gut"
"1.3",10,1.6,"gut"
"1.3",20,5.9,"gut"
"1.3",30,10.2,"gut"
"1.3",40,14,"gut"
"1.3",50,18.3,"gut"
"1.3",60,22.6,"gut"
"1.3",70,26.7,"gut"
"1.3",80,29.6,"gut"
"1.3",90,32,"gut"
"1.3",100,34,"gut"
"1.3",110,35.5,"gut"
"1.3",120,36.8,"gut"
"1.3",130,38.2,"gut"
"1.3",140,39.5,"gut"
"1.4",20,6.9,"gut"
"1.4",30,12.7,"gut"
"1.4",40,18.2,"gut"
"1.4",50,23.2,"gut"
"1.4",60,27.2,"gut"
"1.4",70,30.1,"gut"
"1.4",80,32.7,"gut"
"1.4",90,35,"gut"
"1.4",100,37,"gut"
"1.4",110,38.9,"gut"
"1.4",120,40.6,"gut"
"1.4",130,42.1,"gut"
"1.4",140,43.5,"gut"
"1.6",10,2,"gut"
"1.6",20,7.8,"gut"
"1.6",30,12.9,"gut"
"1.6",40,17.7,"gut"
"1.6",50,22.2,"gut"
"1.6",60,24.8,"gut"
"1.6",70,27.2,"gut"
"1.6",80,29.3,"gut"
"1.6",90,31.4,"gut"
"1.6",100,32.8,"gut"
"1.6",110,33.9,"gut"
"1.6",120,34.7,"gut"
"1.6",130,35.6,"gut"
"1.6",140,36.5,"gut"
"1.6",150,37.4,"gut"
"1.7",10,1.9,"gut"
"1.7",20,6.9,"gut"
"1.7",30,12.2,"gut"
"1.7",40,16.6,"gut"
"1.7",50,20.7,"gut"
"1.7",60,24.1,"gut"
"1.7",70,27.3,"gut"
"1.7",80,30.2,"gut"
"1.7",90,32.5,"gut"
"1.7",100,34.1,"gut"
"1.7",110,35.3,"gut"
"1.7",120,36.5,"gut"
"1.7",130,37.6,"gut"
"1.7",140,38.8,"gut"
"1.7",150,39.9,"gut"
"2.1",20,4.8,"gut"
"2.1",30,9.5,"gut"
"2.1",40,14.2,"gut"
"2.1",50,18.8,"gut"
"2.1",60,23.1,"gut"
"2.1",70,26.2,"gut"
